isRentalCommunity,agent_name,bathrooms,price_per_sqft,street,neighborhood,city,listing_id,state_code,isSrpFeatured,apt_number,isRental,state,latitude,location_Id,zip_code,status,build_year,price,bedrooms,address,house_type,hasStreetView,neighborhood_ID,street_number,url,sqft,dmaId,longitude,partial_bathrooms,type_house,siteID,isForeclosure,type_display
False,Gina Grinsell,2,852.7523,Caire Ter,Potrero Hill,San Francisco,3257878710,CA,False,,False,California,37.75219,77516,94107,Pending,1984,929500,3,"27 Caire Terrace, San Francisco, CA",Condo,-1,1453,27,https://www.trulia.com/property/3257878710-27-Caire-Ter-San-Francisco-CA-94107,1090,37,-122.39919,,CONDO,1173403270,False,Condo
False,Maria Marchetti,4,0,Upper Ter,Ashbury Heights,San Francisco,3212314629,CA,True,,False,California,37.762733,77525,94117,For Sale,1973,3995000,4,"361 Upper Terrace, San Francisco, CA",Single-Family Home,-1,1388,361,https://www.trulia.com/property/3212314629-361-Upper-Ter-San-Francisco-CA-94117,,37,-122.446335,1,SINGLE-FAMILY HOME,10352208,False,Single-Family Home
False,Justin  Goldberg ,1,0,New Montgomery St,South Beach,San Francisco,3259959723,CA,False,613,False,California,37.787457,77515,94105,For Sale,1914,849000,1,"74 New Montgomery Street #613, San Francisco, CA",Condo,-1,1463,74,https://www.trulia.com/property/3259959723-74-New-Montgomery-St-613-San-Francisco-CA-94105,,37,-122.401306,,CONDO,205608772,False,Condo
False,Kim Barnes,2,0,Steiner St,Pacific Heights,San Francisco,3258766954,CA,False,,False,California,37.789925,77523,94115,For Sale,,2649000,4,"2219-2221 Steiner Street, San Francisco, CA",Multi-Family Home,-1,1450,2219-2221,https://www.trulia.com/property/3258766954-2219-2221-Steiner-St-San-Francisco-CA-94115,,37,-122.43591,,MULTI-FAMILY,2275519593,False,Multi-Family Home
False,Nikki Szeto,2,775.9967,Funston Ave,Golden Gate Heights,San Francisco,3259830285,CA,False,,False,California,37.747433,77524,94116,For Sale,1978,1888000,3,"2184 Funston Avenue, San Francisco, CA",Single-Family Home,-1,1414,2184,https://www.trulia.com/property/3259830285-2184-Funston-Ave-San-Francisco-CA-94116,2433,37,-122.46912,,SINGLE-FAMILY HOME,2275759877,False,Single-Family Home
False,David Klein,2,646.7577,Goettingen St,Portola,San Francisco,3259635759,CA,True,,False,California,37.72277,77542,94134,Pending,1951,758000,3,"745 Goettingen Street, San Francisco, CA",Single-Family Home,-1,1452,745,https://www.trulia.com/property/3259635759-745-Goettingen-St-San-Francisco-CA-94134,1172,37,-122.40455,,SINGLE-FAMILY HOME,2275329571,False,Single-Family Home
False,Tina Schilling,2,1256.8047,Potrero Ave,Potrero Hill,San Francisco,3257463993,CA,True,503,False,California,37.76524,77513,94103,For Sale,,1062000,2,"338 Potrero Avenue #503, San Francisco, CA",Condo,-1,1453,338,https://www.trulia.com/property/3257463993-Rowan-338-Potrero-Ave-503-San-Francisco-CA-94103,845,37,-122.40766,,CONDO,2275532141,False,Condo
False,Michael King,2,1090.0321,Filbert St,Russian Hill,San Francisco,3258664912,CA,False,,False,California,37.79998,77518,94109,For Sale,1908,1695000,2,"1169 Filbert Street, San Francisco, CA",Condo,-1,1456,1169,https://www.trulia.com/property/3258664912-1169-Filbert-St-San-Francisco-CA-94109,1555,37,-122.41864,,CONDO,205416624,False,Condo
False,Laraine Hsu,1,1029.7823,Berry St,Mission Bay,San Francisco,3259525033,CA,False,304,False,California,37.774185,77549,94158,For Sale,,899000,1,"255 Berry Street #304, San Francisco, CA",Condo,-1,1437,255,https://www.trulia.com/property/3259525033-255-Berry-St-304-San-Francisco-CA-94158,873,37,-122.394745,,CONDO,2275519593,False,Condo
False,Vi Pavlicevich,2,1022.7273,Berry St,Mission Bay,San Francisco,3259201909,CA,False,516,False,California,37.773388,77549,94158,For Sale,2007,1395000,2,"325 Berry Street #516, San Francisco, CA",Condo,-1,1437,325,https://www.trulia.com/property/3259201909-325-Berry-St-516-San-Francisco-CA-94158,1364,37,-122.39576,,CONDO,2275098028,False,Condo
